Strategy,StoppingIteration,GradientStableIteration
K-Means_seed_47+Centroids_saturation_low_seed_47,100,
K-Means_seed_47+Centroids_saturation_medium_seed_47,100,
K-Means_seed_47+Centroids_saturation_high_seed_47,100,
K-Means_seed_47+Random_seed_47,83,83.0
K-Means_seed_47+LHS_seed_47,100,
K-Means_seed_47+Farthest_seed_47,41,41.0
K-Means_seed_47+ODAL_seed_47,100,98.0
K-Means_seed_47+K-Center_seed_47,77,77.0
Farthest_seed_47+Top5Similarity,52,52.0
Farthest_seed_47+Max Comp,39,39.0
Farthest_seed_47+Min Comp,38,38.0
Farthest_seed_47+Centroids_saturation_low_seed_47,45,45.0
Farthest_seed_47+Centroids_saturation_medium_seed_47,46,46.0
Farthest_seed_47+Centroids_saturation_high_seed_47,46,46.0
Farthest_seed_47+Random_seed_47,50,50.0
Farthest_seed_47+LHS_seed_47,43,43.0
Farthest_seed_47+K-Means_seed_47,41,41.0
Farthest_seed_47+ODAL_seed_47,41,41.0
Farthest_seed_47+K-Center_seed_47,41,41.0
ODAL_seed_47+Top5Similarity,83,83.0
ODAL_seed_47+Max Comp,44,44.0
ODAL_seed_47+Min Comp,100,68.0
ODAL_seed_47+Centroids_saturation_low_seed_47,88,88.0
ODAL_seed_47+Centroids_saturation_medium_seed_47,100,
ODAL_seed_47+Centroids_saturation_high_seed_47,100,
ODAL_seed_47+Random_seed_47,59,59.0
ODAL_seed_47+LHS_seed_47,68,68.0
ODAL_seed_47+K-Means_seed_47,100,98.0
ODAL_seed_47+Farthest_seed_47,41,41.0
ODAL_seed_47+K-Center_seed_47,44,44.0
K-Center_seed_47+Top5Similarity,71,71.0
K-Center_seed_47+Max Comp,41,41.0
K-Center_seed_47+Min Comp,52,52.0
K-Center_seed_47+Centroids_saturation_low_seed_47,78,78.0
K-Center_seed_47+Centroids_saturation_medium_seed_47,76,76.0
K-Center_seed_47+Centroids_saturation_high_seed_47,88,88.0
K-Center_seed_47+Random_seed_47,70,70.0
K-Center_seed_47+LHS_seed_47,68,68.0
K-Center_seed_47+K-Means_seed_47,77,77.0
K-Center_seed_47+Farthest_seed_47,41,41.0
K-Center_seed_47+ODAL_seed_47,44,44.0
